ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
128,Black-capped Tinamou,Crypturellus atrocapillus,Crypturellus atrocapillus,Tinamiformes,Tinamidae,Crypturellus,atrocapillus,452.5,NA,L,900,1000,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,NA,NA,NA,NA
131,Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Crypturellus,cinnamomeus,423.75,NA,0,1800,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
141,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,Tinamiformes,Tinamidae,Crypturellus,boucardi,433.875,NA,0,1500,1800,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
144,Choco Tinamou,Crypturellus kerriae,Crypturellus kerriae,Tinamiformes,Tinamidae,Crypturellus,kerriae,NA,NA,100,1500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
145,Variegated Tinamou,Crypturellus variegatus,Crypturellus variegatus,Tinamiformes,Tinamidae,Crypturellus,variegatus,363,NA,100,1300,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
146,Rusty Tinamou,Crypturellus brevirostris,Crypturellus brevirostris,Tinamiformes,Tinamidae,Crypturellus,brevirostris,273.89999999999998,NA,0,500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
147,Bartlett's Tinamou,Crypturellus bartletti,Crypturellus bartletti,Tinamiformes,Tinamidae,Crypturellus,bartletti,241,NA,L,500,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
148,Small-billed Tinamou,Crypturellus parvirostris,Crypturellus parvirostris,Tinamiformes,Tinamidae,Crypturellus,parvirostris,193,NA,0,900,1200,1,3,NA,4,NA,5,NA,NA,NA,6,2,NA,NA,NA,NA,NA,Forest,0,0,0,1
149,Barred Tinamou,Crypturellus casiquiare,Crypturellus casiquiare,Tinamiformes,Tinamidae,Crypturellus,casiquiare,287.625,NA,L,200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA
150,Tataupa Tinamou,Crypturellus tataupa,Crypturellus tataupa,Tinamiformes,Tinamidae,Crypturellus,tataupa,221.25,NA,0,1400,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
