ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,Beak_Width,Beak_Depth,wing_length,Tail_Length,Tarsus.Length,Avonet_Mass,Avonet_HWI,BeakL_Div_Tarsus,Prop_Tail_Length,Prop_Leg_Length,Beak_Stoutness,Beak_CrossSect,HWI,Dimorphism,Colors,Final_Behavior_1,Final_Behavior_2,Final_Behavior_3
69,Tawny-breasted Tinamou,Nothocercus julius,Nothocercus julius,Tinamiformes,Tinamidae,Nothocercus,julius,683.75,NA,1700,3400,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1,33,4.6,6.2,191.2,51.6,58.8,693,16.7,0.5612244897959184,0.2698744769874477,0.3075313807531381,5.32258064516129,1.347826086956522,16.7,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
70,Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Nothocercus,nigrocapillus,540,NA,1300,3300,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,35.3,4.6,5.8,187,56,63.5,540,14.8,0.5559055118110235,0.2994652406417112,0.339572192513369,6.086206896551724,1.2608695652173914,14.8,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
73,Berlepsch's Tinamou,Crypturellus berlepschi,Crypturellus berlepschi,Tinamiformes,Tinamidae,Crypturellus,berlepschi,521,NA,0,500,900,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,27.9,5.3,6.5,164.6,54.2,53.4,516.8,23.3,0.5224719101123595,0.32928311057108145,0.3244228432563791,4.292307692307692,1.2264150943396226,23.3,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
74,Cinereous Tinamou,Crypturellus cinereus,Crypturellus cinereus,Tinamiformes,Tinamidae,Crypturellus,cinereus,502.25,NA,0,900,NA,1,NA,2,4,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,31,5.2,5.4,162.4,55.9,49.8,506.6,18.7,0.6224899598393575,0.3442118226600985,0.3066502463054187,5.7407407407407405,1.0384615384615383,18.7,0,1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
75,Little Tinamou,Crypturellus soui,Crypturellus soui,Tinamiformes,Tinamidae,Crypturellus,soui,247.25,NA,0,1500,NA,1,NA,NA,2,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,0,1,0,24.2,4.2,3.9,127.5,47.9,36.4,216.2,25.4,0.6648351648351648,0.3756862745098039,0.28549019607843135,6.205128205128205,0.9285714285714284,25.4,NA,0,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
92,Tepui Tinamou,Crypturellus ptaritepui,Crypturellus ptaritepui,Tinamiformes,Tinamidae,Crypturellus,ptaritepui,NA,NA,1350,1800,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,29.6,4.6,5.8,136,54.2,51.2,443.4,7.4,0.578125,0.3985294117647059,0.3764705882352941,5.103448275862069,1.2608695652173914,7.4,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
93,Brown Tinamou,Crypturellus obsoletus,Crypturellus obsoletus,Tinamiformes,Tinamidae,Crypturellus,obsoletus,478.83333333333326,NA,200,2800,3300,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,30.9,5.4,4.5,160,54.2,45.9,443.4,22.4,0.6732026143790849,0.33875,0.286875,6.866666666666666,0.8333333333333333,22.4,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
107,Undulated Tinamou,Crypturellus undulatus,Crypturellus undulatus,Tinamiformes,Tinamidae,Crypturellus,undulatus,550.6666666666666,NA,0,900,NA,1,NA,4,2,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,34,6,5.8,172.5,56.6,48,564.4,20.3,0.7083333333333334,0.32811594202898553,0.2782608695652174,5.862068965517242,0.9666666666666668,20.3,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
114,Pale-browed Tinamou,Crypturellus transfasciatus,Crypturellus transfasciatus,Tinamiformes,Tinamidae,Crypturellus,transfasciatus,283,NA,0,800,1600,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,26.7,5.1,4.8,150.2,45.6,46.4,283,24,0.5754310344827587,0.3035952063914781,0.3089214380825566,5.5625,0.9411764705882352,24,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
115,Brazilian Tinamou,Crypturellus strigulosus,Crypturellus strigulosus,Tinamiformes,Tinamidae,Crypturellus,strigulosus,421,NA,0,500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,32.3,5.3,5.3,160.9,47.9,46.4,430.6,18.7,0.6961206896551724,0.29770043505282784,0.28837787445618396,6.094339622641509,1,18.7,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,Flight: Direct/Strong
