"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Amazonian Umbrellabird","Cephalopterus_ornatus","Cotingas","Cotingidae","Passeriformes","F","black, blue, brownish gray, dark blue, dark gray"
"Amazonian Umbrellabird","Cephalopterus_ornatus","Cotingas","Cotingidae","Passeriformes","M","black, blue, dark blue, dark gray, gray"
"American Black Duck","Anas_rubripes","Ducks, geese and swans","Anatidae","Anseriformes","F","blue, brownish gray, dark blue, dark gray, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"American Crow","Corvus_brachyrhynchos","Crows and jays","Corvidae","Passeriformes","F","black, brownish gray, dark gray, gray"
"American Dipper","Cinclus_mexicanus","Dippers","Cinclidae","Passeriformes","F","brownish gray, gray"
"American Dusky Flycatcher","Empidonax_oberholseri","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"American Flamingo","Phoenicopterus_ruber","Flamingos","Phoenicopteridae","Phoenicopteriformes","M","dark gray, gray, medium buff, medium cream, medium orange-buff, medium tan, pale cream"
"American Golden Plover","Pluvialis_dominica","Plovers","Charadriidae","Charadriiformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium-dark yellow-buff"
"American Goldfinch","Carduelis_tristis","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, very pale cream, very pale orange-buff"
"American Goldfinch","Carduelis_tristis","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","dark blue, gray, medium cream, olive-gray, pale gray, very pale cream, very pale green, very pale orange-buff"
"American Kestrel","Falco_sparverius","Falcons and caracaras","Falconidae","Falconiformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"American Oystercatcher","Haematopus_palliatus","Oystercatchers","Haematopodidae","Charadriiformes","F","brownish gray, dark gray, gray, pale gray"
