"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Grey-breasted Sabrewing","Campylopterus_largipennis","Hummingbirds","Trochilidae","Apodiformes","F","black, blue, brownish gray, dark gray, dark olive, dark yellow-buff, gray, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale gray"
"Grey-breasted Sabrewing","Campylopterus_largipennis","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark gray, dark olive, dark yellow-buff, gray, medium green, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, pale gray"
"Grey-breasted Seedsnipe","Thinocorus_orbignyianus","Seedsnipes","Thinocoridae","Charadriiformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Grey-capped Greenfinch","Carduelis_sinica","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, very pale cream, very pale orange-buff"
"Grey-capped Greenfinch","Carduelis_sinica","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","gray, very pale buff, very pale cream, very pale orange-buff"
"Grey-capped Hemispingus","Hemispingus_reyi","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium-dark yellow-buff"
"Grey-cheeked Grass-finch","Emberizoides_ypiranganus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium-dark yellow-buff"
"Grey-cheeked Thrush","Catharus_minimus","Thrushes","Turdidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, pale gray"
"Grey-chinned Hermit","Phaethornis_griseogularis","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark rufous, dark yellow-buff, gray, medium-dark yellow-buff"
"Grey-crested Finch","Lophospingus_griseocristatus","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray"
"Grey-crowned Babbler","Pomatostomus_temporalis","Australasian babblers","Pomatostomidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Grey-crowned Flycatcher","Tolmomyias_poliocephalus","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Grey-crowned Munia","Lonchura_nevermanni","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","medium pinkish buff, medium red-brown, medium tan, medium-dark red-brown, pale buff, very pale orange-buff"
"Grey-crowned Tetraka","Bernieria_cinereiceps","Old World warblers","Sylviidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Grey-fronted Dove","Leptotila_rufaxilla","Doves and pigeons","Columbidae","Columbiformes","F","brownish gray, dark rufous, gray, medium orange-buff, medium-dark orange-buff, pale cream"
"Grey-fronted Dove","Leptotila_rufaxilla","Doves and pigeons","Columbidae","Columbiformes","M","blue, brownish gray, dark gray, gray, medium orange-buff, medium-dark orange-buff, pale cream"
"Grey-green Fruit-dove","Ptilinopus_purpuratus","Doves and pigeons","Columbidae","Columbiformes","M","dark gray, dark olive, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale cream"
"Grey-headed Albatross","Thalassarche_chrysostoma","Albatrosses","Diomedeidae","Procellariiformes","M","brownish gray, gray"
"Grey-headed Munia","Lonchura_caniceps","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff"
"Grey-headed Munia","Lonchura_caniceps","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes",NA,"medium pinkish buff, medium red-brown, medium tan, medium-dark brown, pale buff, pale pinkish buff, very pale buff, very pale orange-buff"
"Grey-headed Negrofinch","Nigrita_canicapillus","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","black, brownish gray, dark rufous, dark yellow-buff, medium red-brown, medium-dark brown, medium-dark maroon, medium-dark red-brown, medium-dark yellow-buff, very dark rufous, very pale cream"
"Grey-headed Negrofinch","Nigrita_canicapillus","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","black, dark maroon, dark yellow-buff, medium red-brown, medium-dark maroon, medium-dark red-brown, pale buff, pale pinkish buff, very dark yellow-buff, very pale cream, very pale orange-buff"
"Grey-headed Robin","Heteromyias_albispecularis","Australasian robins","Petroicidae","Passeriformes","F","brownish gray, dark gray, gray"
"Grey-headed Silverbill","Lonchura_griseicapilla","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","dark maroon, dark rufous, medium buff, medium tan, medium yellow-buff, medium-dark brown, pale buff, pale cream, very dark yellow-buff, very pale cream, very pale orange-buff"
"Grey-headed Silverbill","Lonchura_griseicapilla","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","medium buff, medium orange-buff, medium red-brown, medium tan, medium-dark orange-buff, pale buff, very dark yellow-buff, very pale buff, very pale cream, very pale orange-buff"
"Grey-headed Tanager","Eucometis_penicillata","Tanagers","Thraupidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff"
"Grey-headed Tanager","Eucometis_penicillata","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Grey-hooded Bush Tanager","Cnemoscopus_rubrirostris","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Grey-hooded Flycatcher","Mionectes_rufiventris","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, olive-gray"
"Grey-hooded Sierra-finch","Phrygilus_gayi","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark rufous, dark yellow-buff, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Grey-necked Picathartes","Picathartes_oreas","Rockfowl","Picathartidae","Passeriformes","F","gray"
"Grey-necked Picathartes","Picathartes_oreas","Rockfowl","Picathartidae","Passeriformes","M","gray"
"Grey-necked Wood-rail","Aramides_cajanea","Rails, crakes and allies","Rallidae","Gruiformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark orange-buff, medium-dark rufous"
"Grey-necked Wood-rail","Aramides_cajanea","Rails, crakes and allies","Rallidae","Gruiformes","M","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"Grey-necked Wood-rail","Aramides_cajanea","Rails, crakes and allies","Rallidae","Gruiformes",NA,"brownish gray, dark gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff"
"Grey-rumped Swift","Chaetura_cinereiventris","Swifts","Apodidae","Apodiformes",NA,"black, brownish gray, dark gray, gray"
"Grey-tailed Tattler","Heteroscelus_brevipes","Sandpipers and allies","Scolopacidae","Charadriiformes","M","brownish gray, gray"
"Grey-throated Leaftosser","Sclerurus_albigularis","Ovenbirds","Furnariidae","Passeriformes","F","brownish gray, dark gray, dark rufous, gray"
"Grey-throated Leaftosser","Sclerurus_albigularis","Ovenbirds","Furnariidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray"
"Grey-throated Warbling-finch","Poospiza_cabanisi","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark yellow-buff, very dark rufous"
"Grey-winged Inca-finch","Incaspiza_ortizi","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray"
"Grey-winged Longbill","Toxorhamphus_poliopterus","Berrypeckers","Melanocharitidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Grey-winged Trumpeter","Psophia_crepitans","Trumpeters","Psophiidae","Gruiformes","F","black, brownish gray, dark gray, dark purple, dark yellow-buff, medium-dark yellow-buff"
"Grey-winged Trumpeter","Psophia_crepitans","Trumpeters","Psophiidae","Gruiformes","M","black, blue, brownish gray, dark gray, dark yellow-buff, gray, medium-dark yellow-buff, olive-gray"
"Grey-winged Trumpeter","Psophia_crepitans","Trumpeters","Psophiidae","Gruiformes",NA,"black, brownish gray, dark blue, dark gray, dark purple, dark rufous, gray, medium-dark olive, medium-dark yellow-buff"
"Greyish Mourner","Rhytipterna_simplex","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, gray, medium cream, pale cream"
"Greyish Mourner","Rhytipterna_simplex","Tyrant-flycatchers","Tyrannidae","Passeriformes","M","brownish gray, gray, medium yellow-buff, pale cream"
"Greyish Saltator","Saltator_coerulescens","Grosbeaks, saltators and allies","Cardinalidae","Passeriformes","M","dark gray, dark yellow-buff, gray, medium-dark yellow-buff"
"Greyish Saltator","Saltator_coerulescens","Grosbeaks, saltators and allies","Cardinalidae","Passeriformes",NA,"brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Groove-billed Ani","Crotophaga_sulcirostris","Cuckoos","Cuculidae","Cuculiformes","F","black, dark blue, dark gray, gray, olive-gray"
"Guam Rail","Gallirallus_owstoni","Rails, crakes and allies","Rallidae","Gruiformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, pale gray"
"Guianan Cock-of-the-rock","Rupicola_rupicola","Cotingas","Cotingidae","Passeriformes","M","brownish gray, dark gray, dark rufous, gray, medium orange-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale gray"
"Guianan Gnatcatcher","Polioptila_guianensis","Gnatcatchers","Polioptilidae","Passeriformes","F","black, dark gray, gray, olive-gray, pale gray"
"Guianan Puffbird","Notharchus_macrorhynchos","Puffbirds","Bucconidae","Piciformes","M","brownish gray, dark gray, gray"
"Guianan Puffbird","Notharchus_macrorhynchos","Puffbirds","Bucconidae","Piciformes",NA,"black, brownish gray, dark gray, gray"
"Guianan Red-cotinga","Phoenicircus_carnifex","Cotingas","Cotingidae","Passeriformes","F","brownish gray, dark brown, dark rufous, dark yellow-buff, medium-dark brown, medium-dark rufous, medium-dark yellow-buff"
"Guianan Red-cotinga","Phoenicircus_carnifex","Cotingas","Cotingidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark rufous, gray, medium-dark brown, medium-dark rufous"
"Guianan Streaked Antwren","Myrmotherula_surinamensis","Antbirds","Thamnophilidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Guianan Streaked Antwren","Myrmotherula_surinamensis","Antbirds","Thamnophilidae","Passeriformes","M","black, brownish gray, dark gray, gray, pale gray"
"Guianan Toucanet","Selenidera_piperivora","Toucans and barbets","Ramphastidae","Piciformes","F","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark brown, medium-dark yellow-buff, very dark rufous"
"Guianan Toucanet","Selenidera_piperivora","Toucans and barbets","Ramphastidae","Piciformes","M","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark brown, medium-dark yellow-buff, olive-gray"
"Guianan Warbling-antbird","Hypocnemis_cantator","Antbirds","Thamnophilidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff, pale gray"
"Guianan Warbling-antbird","Hypocnemis_cantator","Antbirds","Thamnophilidae","Passeriformes","M","brownish gray, dark gray, gray, medium orange-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Guira Cuckoo","Guira_guira","Cuckoos","Cuculidae","Cuculiformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Guira Tanager","Hemithraupis_guira","Tanagers","Thraupidae","Passeriformes","F","brownish gray, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Guira Tanager","Hemithraupis_guira","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, medium cream, medium-dark yellow-buff, pale cream"
"Guira Tanager","Hemithraupis_guira","Tanagers","Thraupidae","Passeriformes",NA,"brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Hair-crested Drongo","Dicrurus_hottentottus","Drongos","Dicruridae","Passeriformes","F","black, blue, dark blue, dark gray, gray, light blue"
"Hairy Woodpecker","Picoides_villosus","Woodpeckers","Picidae","Piciformes","F","black, dark brown, dark gray, gray, medium-dark brown, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale gray"
"Hall's Babbler","Pomatostomus_halli","Australasian babblers","Pomatostomidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark yellow-buff, pale gray"
"Hammond's Flycatcher","Empidonax_hammondii","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Harlequin Duck","Histrionicus_histrionicus","Ducks, geese and swans","Anatidae","Anseriformes","F","brownish gray, dark gray, gray"
"Harpy Eagle","Harpia_harpyja","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","M","brownish gray, dark gray, gray"
"Harpy Eagle","Harpia_harpyja","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes",NA,"brownish gray, dark gray, gray"
"Harris's Sparrow","Zonotrichia_querula","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Hartlaub's Turaco","Tauraco_hartlaubi","Turacos","Musophagidae","Musophagiformes","M","blue, gray, medium-dark green, medium-dark olive, pale gray, very dark maroon"
"Hartlaub's Turaco","Tauraco_hartlaubi","Turacos","Musophagidae","Musophagiformes",NA,"blue, dark purple, gray, medium yellow-buff, medium-dark green, olive-gray"
"Hawaiian Goose","Branta_sandvicensis","Ducks, geese and swans","Anatidae","Anseriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Hawaiian Hawk","Buteo_solitarius","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","M","brownish gray, dark gray, gray"
"Hawfinch","Coccothraustes_coccothraustes","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff"
"Hedge Accentor","Prunella_modularis","Accentors","Prunellidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff"
"Helmeted Friarbird","Philemon_buceroides","Honeyeaters","Meliphagidae","Passeriformes","F","brownish gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Helmeted Guineafowl","Numida_meleagris","Guineafowl","Numididae","Galliformes","F","brownish gray, dark gray, gray, medium-dark yellow-buff"
"Helmeted Pygmy-tyrant","Lophotriccus_galeatus","Tyrant-flycatchers","Tyrannidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Henslow's Sparrow","Ammodramus_henslowii","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","dark yellow-buff, gray, medium-dark yellow-buff"
"Henslow's Sparrow","Ammodramus_henslowii","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Hepatic Tanager","Piranga_flava","Grosbeaks, saltators and allies","Cardinalidae","Passeriformes","F","black, brownish gray, dark brown, dark rufous, dark yellow-buff, gray, medium orange-buff, medium yellow-buff, medium-dark brown, medium-dark orange-buff, medium-dark yellow-buff"
"Hermit Thrush","Catharus_guttatus","Thrushes","Turdidae","Passeriformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Hermit Warbler","Dendroica_occidentalis","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale gray, very dark yellow-buff"
"Hermit Warbler","Dendroica_occidentalis","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, pale gray"
"Herring Gull","Larus_argentatus","Gulls and terns","Laridae","Charadriiformes","F","brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale gray"
"Highland Guan","Penelopina_nigra","Guans and curassows","Cracidae","Galliformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff"
"Hildebrandt's Starling","Lamprotornis_hildebrandti","Starlings","Sturnidae","Passeriformes","M","blue, dark purple, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Hill Prinia","Prinia_atrogularis","Cisticolas and allies","Cisticolidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Hill Prinia","Prinia_atrogularis","Cisticolas and allies","Cisticolidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Hill-forest Honeyeater","Meliphaga_orientalis","Honeyeaters","Meliphagidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Himalayan Monal","Lophophorus_impejanus","Grouse, pheasants and partridges","Phasianidae","Galliformes","M","blue, brownish gray, dark gray, dark olive, medium green, medium tan, medium yellow-buff, medium-dark brown, medium-dark green, medium-dark orange-buff, olive-gray, pale green, very pale green"
"Hoary Puffleg","Haplophaedia_lugens","Hummingbirds","Trochilidae","Apodiformes","M","brownish gray, dark gray, dark rufous, gray, medium-dark yellow-buff"
"Hoary Redpoll","Carduelis_hornemanni","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium tan, medium-dark orange-buff, medium-dark rufous, pale buff, pale orange-buff, very pale cream, very pale green, very pale orange-buff"
"Hoary Redpoll","Carduelis_hornemanni","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","medium tan, medium-dark brown, very pale buff, very pale cream, very pale green, very pale orange-buff"
"Hoatzin","Opisthocomus_hoazin","Hoatzin","Opisthocomidae","Opisthocomiformes","F","brownish gray, dark gray, dark rufous, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Hoatzin","Opisthocomus_hoazin","Hoatzin","Opisthocomidae","Opisthocomiformes","M","brownish gray, dark gray, dark rufous, gray, medium cream, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale cream"
"Hoatzin","Opisthocomus_hoazin","Hoatzin","Opisthocomidae","Opisthocomiformes",NA,"brownish gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, pale cream"
"Hooded Butcherbird","Cracticus_cassicus","Butcherbirds","Cracticidae","Passeriformes","F","black, dark gray, gray, pale gray"
"Hooded Cuckooshrike","Coracina_longicauda","Cuckoo-shrikes","Campephagidae","Passeriformes","F","black, dark gray, gray"
"Hooded Monarch","Monarcha_manadensis","Monarchs","Monarchidae","Passeriformes","M","black, blue, dark blue, dark gray, gray, pale gray"
"Hooded Mountain-tanager","Buthraupis_montana","Tanagers","Thraupidae","Passeriformes","F","black, blue, dark blue, dark gray, gray, light blue, medium yellow-buff, medium-dark yellow-buff, olive-gray"
"Hooded Munia","Lonchura_spectabilis","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","black, brownish gray, dark gray, dark maroon, dark rufous, dark yellow-buff, gray, medium buff, medium pinkish buff, medium red-brown, medium tan, medium yellow-buff, medium-dark maroon, medium-dark red-brown, medium-dark rufous, medium-dark yellow-buff, very pale buff, very pale cream, very pale orange-buff"
"Hooded Munia","Lonchura_spectabilis","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","dark brown, dark maroon, medium red-brown, medium tan, medium-dark brown, medium-dark maroon, medium-dark red-brown, medium-dark rufous, very pale buff, very pale cream, very pale orange-buff"
"Hooded Oriole","Icterus_cucullatus","New World blackbirds","Icteridae","Passeriformes","F","brownish gray, gray, medium cream, medium orange-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale cream"
"Hooded Parrot","Psephotus_dissimilis","Parrots","Psittacidae","Psittaciformes","M","brownish gray, gray, medium cream, medium green, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff, olive-gray, pale green"
"Hooded Pitta","Pitta_sordida","Pittas","Pittidae","Passeriformes","F","dark gray, light blue, medium green, medium-dark brown, medium-dark green, medium-dark olive, medium-dark yellow-buff, pale green, very pale green"
"Hooded Pitta","Pitta_sordida","Pittas","Pittidae","Passeriformes","M","dark gray, light blue, medium green, medium-dark brown, medium-dark green, medium-dark olive, medium-dark yellow-buff, very pale green"
"Hooded Plover","Thinornis_rubricollis","Plovers","Charadriidae","Charadriiformes","F","brownish gray, dark gray, gray, pale gray"
"Hooded Robin","Melanodryas_cucullata","Australasian robins","Petroicidae","Passeriformes","F","black, brownish gray, dark gray, gray"
"Hooded Seedeater","Sporophila_melanops","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, gray, medium yellow-buff"
"Hooded Siskin","Carduelis_magellanica","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","very pale cream, very pale orange-buff"
"Hooded Siskin","Carduelis_magellanica","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","brownish gray, dark gray, gray, olive-gray, pale gray, very pale cream, very pale orange-buff"
"Hooded Tanager","Nemosia_pileata","Tanagers","Thraupidae","Passeriformes","F","dark gray, gray, medium cream"
"Hooded Tanager","Nemosia_pileata","Tanagers","Thraupidae","Passeriformes","M","blue, dark gray, gray, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale gray"
"Hooded Warbler","Wilsonia_citrina","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, very dark yellow-buff"
"Hooded Warbler","Wilsonia_citrina","New World warblers","Parulidae","Passeriformes","M","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Hooded Whistler","Pachycephala_implicata","Whistlers","Pachycephalidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Hook-billed Kite","Chondrohierax_uncinatus","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","M","gray"
"Hook-billed Kite","Chondrohierax_uncinatus","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes",NA,"brownish gray, dark gray, gray, medium-dark rufous, pale cream"
"Hook-billed Vanga","Vanga_curvirostris","Vangas","Vangidae","Passeriformes","F","black, dark gray, gray, pale gray"
"Horned Grebe","Podiceps_auritus","Grebes","Podicipedidae","Podicipediformes",NA,"gray"
"Horned Lark","Eremophila_alpestris","Larks","Alaudidae","Passeriformes","M","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale gray"
"Horned Puffin","Fratercula_corniculata","Auks","Alcidae","Charadriiformes","F","brownish gray, dark gray, gray, pale gray"
"House Crow","Corvus_splendens","Crows and jays","Corvidae","Passeriformes","F","blue, brownish gray, dark gray, gray"
"House Finch","Carpodacus_mexicanus","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium cream, medium tan, medium yellow-buff, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"House Sparrow","Passer_domesticus","Sparrows, snowfinches and allies","Passeridae","Passeriformes","F","black, brownish gray, dark brown, dark gray, dark rufous, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff"
"House Wren","Troglodytes_aedon","Wrens","Troglodytidae","Passeriformes","M","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Huallaga Tanager","Ramphocelus_melanogaster","Tanagers","Thraupidae","Passeriformes","M","black, brownish gray, dark brown, dark gray, dark rufous, very dark rufous"
"Hudsonian Godwit","Limosa_haemastica","Sandpipers and allies","Scolopacidae","Charadriiformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous"
"Humblot's Sunbird","Nectarinia_humbloti","Sunbirds","Nectariniidae","Passeriformes","F","black, brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff"
"Humblot's Sunbird","Nectarinia_humbloti","Sunbirds","Nectariniidae","Passeriformes","M","black, brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium red-brown, medium yellow-buff, medium-dark brown, medium-dark dark purple, medium-dark maroon, medium-dark yellow-buff, pale cream"
"Hunter's Sunbird","Nectarinia_hunteri","Sunbirds","Nectariniidae","Passeriformes","F","brownish gray, dark gray, gray"
"Hunter's Sunbird","Nectarinia_hunteri","Sunbirds","Nectariniidae","Passeriformes","M","black, brownish gray, dark brown, dark gray, dark purple, medium green, medium-dark dark purple, medium-dark orange-buff, olive-gray, pale green"
"Hutton's Shearwater","Puffinus_huttoni","Petrels and shearwaters","Procellariidae","Procellariiformes","M","brownish gray, dark gray, gray, pale cream"
"Hutton's Vireo","Vireo_huttoni","Vireos and allies","Vireonidae","Passeriformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Iberian Chiffchaff","Phylloscopus_ibericus","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Iiwi","Vestiaria_coccinea","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","gray, medium-dark brown, medium-dark orange-buff, medium-dark rufous"
"Iiwi","Vestiaria_coccinea","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","dark gray, gray, medium-dark brown, medium-dark rufous"
"Imitator Sparrowhawk","Accipiter_imitator","Osprey, kites, hawks and eagles","Accipitridae","Accipitriformes","M","brownish gray, dark gray, gray"
"Imperial Shag","Phalacrocorax_atriceps","Cormorants","Phalacrocoracidae","Suliformes","M","dark gray, gray, medium cream, pale cream"
"Inaccessible Bunting","Nesospiza_acunhae","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium-dark yellow-buff"
"Indian Pitta","Pitta_brachyura","Pittas","Pittidae","Passeriformes","M","blue, dark gray, gray, medium green, medium tan, medium yellow-buff, medium-dark olive, medium-dark yellow-buff, pale cream"
"Indigo Bunting","Passerina_cyanea","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","blue, brownish gray, dark blue, dark gray, dark yellow-buff, gray, light blue, medium green, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray"
"Indigo Flowerpiercer","Diglossa_indigotica","Tanagers","Thraupidae","Passeriformes","M","brownish gray, dark blue, dark gray, gray"
