ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,wing_length,Tarsus.Length,Avonet_Mass,BeakL_Div_Tarsus,Mass_Diff_Pct,Dimorphism,Colors
18352,Lance-tailed Manakin,Chiroxiphia lanceolata,Chiroxiphia lanceolata,Passeriformes,Pipridae,Chiroxiphia,lanceolata,17.233333333333334,NA,0,1500,1700,1,NA,2,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,12.2,70.2,18.1,18.5,0.6740331491712707,6.846846846846842,2,-1
18353,Blue Manakin,Chiroxiphia caudata,Chiroxiphia caudata,Passeriformes,Pipridae,Chiroxiphia,caudata,25.25,NA,0,1500,1900,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,13.8,75.9,19.8,25.6,0.696969696969697,1.3671875000000056,2,0
18354,Araripe Manakin,Antilophia bokermanni,Chiroxiphia bokermanni,Passeriformes,Pipridae,Antilophia,bokermanni,20.078333333333333,NA,800,810,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,11.9,75.4,17.9,19.8,0.664804469273743,1.3862372374865068,2,-1
18355,Helmeted Manakin,Antilophia galeata,Chiroxiphia galeata,Passeriformes,Pipridae,Antilophia,galeata,21.7,NA,500,1000,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Riparian,0,0,0,1,13.7,77.2,18,21.5,0.7611111111111111,0.9216589861751119,2,-1
18356,Pin-tailed Manakin,Ilicura militaris,Ilicura militaris,Passeriformes,Pipridae,Ilicura,militaris,15.033333333333331,NA,0,1200,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,9.4,61.2,17.8,12.7,0.5280898876404494,15.521064301552101,2,-1
18357,Golden-winged Manakin,Masius chrysopterus,Masius chrysopterus,Passeriformes,Pipridae,Masius,chrysopterus,10.625,400,800,2000,2300,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1,10.3,59,17,11.5,0.6058823529411765,7.608695652173914,2,-1
18363,White-throated Manakin,Corapipo gutturalis,Corapipo gutturalis,Passeriformes,Pipridae,Corapipo,gutturalis,8.366666666666665,NA,200,1100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,1,0,0,9.9,56.4,15,8.2,0.66,1.9920318725099535,2,1
18364,White-ruffed Manakin,Corapipo altera,Corapipo altera,Passeriformes,Pipridae,Corapipo,altera,11.486666666666666,0,200,1585,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,9.7,57.8,16.4,11.7,0.5914634146341463,1.82336182336182,NA,-1
18367,White-bibbed Manakin,Corapipo leucorrhoa,Corapipo leucorrhoa,Passeriformes,Pipridae,Corapipo,leucorrhoa,11.75,NA,0,1500,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,1,1,1,10.2,58,14.9,11.7,0.6845637583892616,0.4255319148936231,2,-1
18369,Olive Manakin,Xenopipo uniformis,Xenopipo uniformis,Passeriformes,Pipridae,Xenopipo,uniformis,18.75,NA,800,2100,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,14.5,78,16.1,17.9,0.9006211180124223,4.53333333333334,0,-1
18372,Black Manakin,Xenopipo atronitens,Xenopipo atronitens,Passeriformes,Pipridae,Xenopipo,atronitens,15.125,NA,0,700,1200,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,Woodland,NA,NA,NA,NA,13.9,70.3,14.3,15.5,0.972027972027972,2.4193548387096775,2,0
18373,Choco Manakin,Cryptopipo litae,Cryptopipo litae,Passeriformes,Pipridae,Cryptopipo,litae,18,NA,0,1250,1425,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
18376,Green Manakin,Cryptopipo holochlora,Cryptopipo holochlora,Passeriformes,Pipridae,Cryptopipo,holochlora,14.8,NA,L,1200,1500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,14.1,71,14.9,14.9,0.9463087248322147,0.671140939597313,0,-1
18379,Velvety Manakin,Lepidothrix velutina,Lepidothrix velutina,Passeriformes,Pipridae,Lepidothrix,velutina,9.7,NA,0,1000,1400,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
18382,Blue-crowned Manakin,Lepidothrix coronata,Lepidothrix coronata,Passeriformes,Pipridae,Lepidothrix,coronata,9.925,NA,0,1100,1400,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,10.9,56.8,14.2,8.3,0.767605633802817,16.3727959697733,2,0
18389,Snow-capped Manakin,Lepidothrix nattereri,Lepidothrix nattereri,Passeriformes,Pipridae,Lepidothrix,nattereri,8.35,NA,0,500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,9.4,49.7,12.1,8.4,0.7768595041322315,0.5952380952381037,1,1
18392,Golden-crowned Manakin,Lepidothrix vilasboasi,Lepidothrix vilasboasi,Passeriformes,Pipridae,Lepidothrix,vilasboasi,7,NA,0,200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,10.6,55.2,13.2,8.4,0.8030303030303031,16.66666666666667,2,-1
18393,Opal-crowned Manakin,Lepidothrix iris,Lepidothrix iris,Passeriformes,Pipridae,Lepidothrix,iris,8.9,NA,0,200,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,11.2,51.7,13.6,8,0.8235294117647058,10.112359550561802,2,-1
18396,Orange-bellied Manakin,Lepidothrix suavissima,Lepidothrix suavissima,Passeriformes,Pipridae,Lepidothrix,suavissima,8.5,250,500,1800,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,11,56.4,15.2,8.5,0.7236842105263158,0,2,-1
18398,White-fronted Manakin,Lepidothrix serena,Lepidothrix serena,Passeriformes,Pipridae,Lepidothrix,serena,11.233333333333334,NA,0,500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,11.4,52.8,15.2,11.4,0.7500000000000001,1.461988304093562,2,1
18400,Blue-rumped Manakin,Lepidothrix isidorei,Lepidothrix isidorei,Passeriformes,Pipridae,Lepidothrix,isidorei,NA,NA,500,1700,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,10.3,51,14.1,7.8,0.7304964539007093,NA,2,-1
18403,Cerulean-capped Manakin,Lepidothrix coeruleocapilla,Lepidothrix coeruleocapilla,Passeriformes,Pipridae,Lepidothrix,coeruleocapilla,9.82,NA,500,2100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,10.4,53.3,15,9.7,0.6933333333333334,1.2219959266802545,2,1
18404,Orange-crested Manakin,Heterocercus aurantiivertex,Heterocercus aurantiivertex,Passeriformes,Pipridae,Heterocercus,aurantiivertex,21.5,NA,0,300,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,14.1,81,15.6,21.5,0.9038461538461539,0,2,-1
18405,Yellow-crested Manakin,Heterocercus flavivertex,Heterocercus flavivertex,Passeriformes,Pipridae,Heterocercus,flavivertex,21.15,NA,0,300,NA,1,NA,2,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,Forest,0,0,0,0,14.7,82.4,13.6,21.3,1.0808823529411764,0.704225352112686,2,-1
18406,Flame-crested Manakin,Heterocercus linteatus,Heterocercus linteatus,Passeriformes,Pipridae,Heterocercus,linteatus,22,NA,0,500,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,0,1,14.6,85.5,15.5,21.2,0.9419354838709677,3.63636363636364,2,-1
18407,White-bearded Manakin,Manacus manacus,Manacus manacus,Passeriformes,Pipridae,Manacus,manacus,16.05,NA,0,1000,1300,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,0,1,0,0,11.5,52.2,20.9,16.7,0.5502392344497608,3.8922155688622673,2,1
18423,White-collared Manakin,Manacus candei,Manacus candei,Passeriformes,Pipridae,Manacus,candei,19.233333333333334,NA,0,700,950,1,NA,2,3,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,Forest,0,0,0,0,12.6,55.7,22,19.8,0.5727272727272728,2.8619528619528607,2,-1
18426,Golden-collared Manakin,Manacus vitellinus,Manacus vitellinus,Passeriformes,Pipridae,Manacus,vitellinus,17.73333333333333,NA,0,1200,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodland,0,1,0,0,13.3,54.7,20.7,18.2,0.6425120772946861,2.564102564102575,2,-1
18431,Orange-collared Manakin,Manacus aurantiacus,Manacus aurantiacus,Passeriformes,Pipridae,Manacus,aurantiacus,14.66,NA,0,1100,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,1,1,0,12.4,46.8,19,15.5,0.6526315789473685,5.419354838709676,2,-1
18433,Crimson-hooded Manakin,Pipra aureola,Pipra aureola,Passeriformes,Pipridae,Pipra,aureola,16.333333333333332,NA,0,300,1200,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,Forest,0,0,0,0,12.9,64.5,15.4,16.1,0.8376623376623377,1.4285714285714128,2,-1
18438,Wire-tailed Manakin,Pipra filicauda,Pipra filicauda,Passeriformes,Pipridae,Pipra,filicauda,16.45,NA,0,300,1000,1,NA,2,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,Forest,0,0,0,0,12.4,65.4,15.7,15.4,0.7898089171974523,6.382978723404249,2,0
18441,Band-tailed Manakin,Pipra fasciicauda,Pipra fasciicauda,Passeriformes,Pipridae,Pipra,fasciicauda,16.516666666666666,NA,0,600,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,0,0,14,63.7,16,15.9,0.875,3.7336024217961574,2,-1
18447,Club-winged Manakin,Machaeropterus deliciosus,Machaeropterus deliciosus,Passeriformes,Pipridae,Machaeropterus,deliciosus,13.666666666666666,100,600,1900,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,1,0,0,11.6,61.4,16.8,12.7,0.6904761904761905,7.073170731707318,2,-1
18448,Kinglet Manakin,Machaeropterus regulus,Machaeropterus regulus,Passeriformes,Pipridae,Machaeropterus,regulus,9.4,NA,0,200,600,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Forest,0,0,0,1,9.9,52.9,13.9,9.3,0.7122302158273381,1.0638297872340388,2,-1
18450,Striolated Manakin,Machaeropterus striolatus,Machaeropterus striolatus,Passeriformes,Pipridae,Machaeropterus,striolatus,9.566666666666666,100,300,1500,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,9.7,50.8,13.9,9.3,0.6978417266187049,2.787456445993022,NA,-1
18456,Painted Manakin,Machaeropterus eckelberryi,Machaeropterus eckelberryi,Passeriformes,Pipridae,Machaeropterus,eckelberryi,10,575,750,1100,1600,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,9.7,55.6,13.9,9.3,0.6978417266187049,6.999999999999992,NA,-1
18457,Fiery-capped Manakin,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Passeriformes,Pipridae,Machaeropterus,pyrocephalus,9.66,NA,0,200,1200,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,10.1,52.2,14.3,9.5,0.7062937062937062,1.656314699792962,2,-1
18460,White-crowned Manakin,Pseudopipra pipra,Pseudopipra pipra,Passeriformes,Pipridae,Pseudopipra,pipra,13.04,NA,0,2000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,NA,NA,12,62,14.1,11.1,0.851063829787234,14.87730061349693,2,-1
18481,Scarlet-horned Manakin,Ceratopipra cornuta,Ceratopipra cornuta,Passeriformes,Pipridae,Ceratopipra,cornuta,24.5,NA,500,1800,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,13.6,65.1,17.4,25.3,0.7816091954022989,3.162055335968382,2,-1
18482,Red-capped Manakin,Ceratopipra mentalis,Ceratopipra mentalis,Passeriformes,Pipridae,Ceratopipra,mentalis,15.883333333333333,NA,0,1050,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,1,1,0,12.1,58.5,14.7,15,0.8231292517006803,5.561385099685202,2,-1
18486,Round-tailed Manakin,Ceratopipra chloromeros,Ceratopipra chloromeros,Passeriformes,Pipridae,Ceratopipra,chloromeros,17.56,NA,0,1400,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,12.8,60.6,15.9,16.5,0.8050314465408805,6.036446469248284,2,-1
18487,Golden-headed Manakin,Ceratopipra erythrocephala,Ceratopipra erythrocephala,Passeriformes,Pipridae,Ceratopipra,erythrocephala,14,NA,0,1350,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,11.9,59,15,13.4,0.7933333333333333,4.285714285714283,2,-1
18491,Red-headed Manakin,Ceratopipra rubrocapilla,Ceratopipra rubrocapilla,Passeriformes,Pipridae,Ceratopipra,rubrocapilla,12.866666666666667,NA,0,500,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1,10.4,61.2,12.6,12,0.8253968253968255,6.735751295336791,2,-1
18492,Black-crowned Tityra,Tityra inquisitor,Tityra inquisitor,Passeriformes,Tityridae,Tityra,inquisitor,51.9,NA,0,1200,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1,26.3,105.7,21.6,43.1,1.2175925925925926,16.955684007707124,2,1
18499,Western Black-tailed Tityra,Tityra cayana,Tityra cayana,Passeriformes,Tityridae,Tityra,cayana,69.14999999999999,NA,0,700,1450,1,NA,2,5,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,Forest,0,0,1,1,28.2,116.7,24.5,68.1,1.1510204081632653,1.5184381778741827,2,1
