









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Solitary Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021939	0.001336	0.0019557	0.0177096	0.0784234	0.1694421	0.1429725	0.0907534	0.0132275	0.005	0.0	0.0	0.0	0.0015	0.0042313	0.0261538	0.0757576	0.1146907	0.121519	0.0997409	0.0714286	0.0439224	0.0215054	0.0166667	0.0177462	0.0095511	0.0021277	0.0010672	0.0037175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012384	0.0026403	0.0114085	0.0153641	0.0136897	0.0360094	0.0581065	0.0890924	0.0674475	0.0445205	0.021164	0.002	0.0	0.0	0.0	0.0	0.0155148	0.0153846	0.0549242	0.0670103	0.1493671	0.1126943	0.0910518	0.0735444	0.0387097	0.0447917	0.0585626	0.0468004	0.0404255	0.0501601	0.0312268	0.0092784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Willet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.127E-4	0.001249	8.078E-4	5.708E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0012887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.278E-4	0.0	0.0	0.0	0.0048267	0.0193721	0.041721	0.0466352	0.0528241	0.0778518	0.0500808	0.0365297	0.0089947	0.002	0.0033186	0.0	9.234E-4	0.0	0.0014104	0.0	0.0056818	0.0115979	0.021519	0.0233161	0.0282575	0.031665	0.0236559	0.03125	0.0266193	0.0238777	0.0255319	0.0320171	0.0230483	0.014433	0.016	0.00369	0.0	0.0	0.0	0.0	0.0	
Lesser/Greater Yellowlegs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.601E-4	4.388E-4	6.68E-4	6.519E-4	0.0035419	0.001219	0.0020816	4.039E-4	0.0011416	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012953	0.0015699	0.0015	0.0015	0.0010417	8.873E-4	0.0	0.0010638	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Turnstone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021164	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Knot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012887	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Curlew Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Stilt Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.163E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046154	0.0047348	0.0	0.0037975	0.0	0.0070644	0.0183861	0.0032258	0.0083333	0.0044366	0.0028653	0.0010638	0.0202775	0.0111524	0.0010309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Buff-breasted Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021505	0.0010417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sanderling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.849E-4	0.0010215	0.0015	0.0	0.0	9.551E-4	0.0	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dunlin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68E-4	0.0045632	0.0023613	0.0040634	0.0	0.0060582	0.0108447	0.0089947	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038204	0.0	0.0074707	0.0089219	0.0154639	0.0057143	0.0	0.0017422	0.0	0.0	0.0	0.0	
Baird's Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018939	0.0051546	0.0164557	0.007772	0.0054945	0.0010215	0.0	0.0072917	0.0044366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-rumped Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087427	0.0020194	0.0097032	0.0042328	0.014	0.0221239	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015699	0.0	0.0015	0.009375	0.0	9.551E-4	0.0	0.0053362	7.435E-4	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Least Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011806	0.022755	0.0824313	0.095315	0.0781963	0.0444444	0.007	0.0	0.0	0.0	0.0049383	0.0437236	0.0507692	0.0861742	0.1018041	0.1556962	0.126943	0.077708	0.052094	0.0225806	0.03125	0.039929	0.0124164	0.006383	0.0064034	0.0022305	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
Pectoral Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.601E-4	0.0140412	0.006012	0.0052151	0.0118064	0.0223486	0.0087427	0.0052504	0.0068493	0.0	0.0	0.0	0.0	0.0	0.0	0.0014104	0.0030769	0.0151515	0.0154639	0.0164557	0.0103627	0.0141287	0.0153218	0.0172043	0.0270833	0.0266193	0.0267431	0.0095745	0.0256137	0.0126394	0.0030928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0010215	0.0	0.0010417	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Semipalmated Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.063E-4	0.0041632	0.0092892	0.0234018	0.0269841	0.019	0.0254425	0.0	0.0	0.0	0.0028209	0.0076923	0.03125	0.0270619	0.0367089	0.0129534	0.0470958	0.0255363	0.0032258	0.0041667	0.0062112	0.0015	0.0042553	0.0042689	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western/Semipalmated Sandpiper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
peep sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001219	8.326E-4	8.078E-4	5.708E-4	0.0010582	0.002	0.0	0.0	0.0	0.0	0.0	0.0015385	0.0037879	0.0051546	0.0025316	0.0012953	0.0023548	0.0020429	0.0010753	0.0	0.0	0.0028653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
shorebird sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.278E-4	0.0	0.0	6.601E-4	0.0017552	0.001336	0.0	5.903E-4	8.127E-4	0.0024979	0.0016155	0.0015	5.291E-4	0.004	0.0	0.0019861	0.0	0.0024691	0.0014104	0.0030769	0.0028409	0.0012887	0.0012658	0.0012953	0.0023548	0.0	0.0010753	0.0	8.873E-4	0.0019102	0.0021277	0.0010672	0.0022305	0.0020619	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
Pomarine Jaeger	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Little Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bonaparte's Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.192E-4	6.601E-4	0.0021939	0.0140281	0.0162973	0.0153483	4.063E-4	0.001249	0.0012116	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.873E-4	0.0	0.0031915	0.0074707	7.435E-4	0.0041237	0.0045714	0.00369	8.711E-4	0.0	0.0	0.0010929	0.0	
Black-headed Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	8.711E-4	0.0	0.0	0.0	0.0	
Laughing Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	8.776E-4	0.0	0.0	0.0011806	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Franklin's Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-billed Gull	0.1646688	0.1529699	0.1478102	0.1815115	0.1638095	0.1524064	0.1183986	0.182947	0.1985401	0.1764706	0.1689769	0.0965336	0.0494322	0.0410691	0.0200708	0.0130028	0.0049958	0.0113086	0.0074201	0.0079365	0.001	0.0	0.0	0.0	0.0012346	0.0014104	0.0015385	0.0018939	0.0	0.0012658	0.0015	7.849E-4	0.0040858	0.0075269	0.0104167	0.0212955	0.025788	0.0255319	0.040555	0.0654275	0.085567	0.0925714	0.1156212	0.1707317	0.105548	0.1023513	0.1256831	0.1640849	
American Herring Gull	0.0750789	0.0691619	0.0693431	0.0816464	0.0819048	0.0741979	0.048552	0.0778146	0.0510949	0.0557276	0.0389439	0.0285213	0.0180361	0.0084746	0.0070838	0.0020317	0.0016653	0.0012116	0.0022831	0.0	0.0	0.0	0.0	0.0	0.0015	0.0014104	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0021505	0.0020833	0.0035492	0.0066858	0.0053191	0.0138741	0.0327138	0.0443299	0.056	0.0541205	0.0879791	0.0622463	0.04426	0.0579235	0.0877797	
Great Black-backed Gull	0.029653	0.0211554	0.0228102	0.0276653	0.032381	0.0140374	0.0106474	0.0107616	0.0072993	0.0037152	0.0026403	0.0026327	6.68E-4	0.0015	0.0011806	0.0015	8.326E-4	4.039E-4	0.0	5.291E-4	0.001	0.0	0.0	0.0	0.0	0.0	0.0015385	0.0	0.0012887	0.0012658	0.0	0.0015	0.0	0.0	0.0010417	0.0	9.551E-4	0.0	0.0	0.002974	0.0072165	0.0057143	0.0073801	0.010453	0.0067659	0.0069156	0.010929	0.026965	
Glaucous Gull	6.309E-4	0.0040683	0.0027372	0.0026991	0.0028571	0.0033422	4.259E-4	0.0016556	7.299E-4	6.192E-4	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010309	0.0	0.00123	0.0	0.0013532	0.0	0.0021858	0.0034423	
American Herring x Glaucous Gull (hybrid)	6.309E-4	0.0	9.124E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Black-backed Gull	0.0511041	0.0431245	0.0392336	0.0533063	0.0590476	0.046123	0.0272572	0.0604305	0.0343066	0.0346749	0.0343234	0.0245722	0.0180361	0.0104302	0.0029516	0.0032507	0.001249	0.0028271	0.0015	0.0010582	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012658	0.0	0.0	0.0	0.0053763	0.0125	0.0177462	0.0076409	0.0042553	0.0170758	0.0260223	0.0371134	0.0354286	0.0393604	0.0635889	0.0568336	0.0276625	0.0360656	0.0424555	
American Herring x Lesser Black-backed Gull (hybrid)	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0013164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
California Gull	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Iceland Gull	0.0088328	0.0113914	0.0127737	0.0182186	0.0209524	0.0120321	0.0085179	0.0157285	0.0065693	0.0043344	0.0079208	0.0030715	0.001336	0.0026076	5.903E-4	4.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022857	0.00492	0.0121951	0.0175913	0.0082988	0.010929	0.006311	
American Herring/Iceland Gull	0.0	0.0	0.0	6.748E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Larus sp.	6.309E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.278E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
gull sp.	0.0227129	0.0260374	0.0218978	0.0283401	0.02	0.019385	0.0174617	0.0190397	0.0182482	0.0185759	0.0125413	0.0114085	0.00668	0.0045632	0.0035419	0.0044697	8.326E-4	0.0016155	0.0017123	0.0010582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018939	0.0	0.0012658	0.0	0.0	0.0040858	0.0021505	0.003125	0.0053239	0.0057307	0.0085106	0.0192102	0.0133829	0.0226804	0.0182857	0.0196802	0.0339721	0.0230041	0.0152144	0.0174863	0.0143431	
Black Skimmer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Caspian Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026076	0.0011806	4.063E-4	0.0020816	4.039E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025773	0.0	0.0	0.0	0.0020429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.039E-4	5.708E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012658	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Forster's Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.519E-4	5.903E-4	4.063E-4	0.0	4.039E-4	0.0	5.291E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.519E-4	0.001771	0.0	0.0020816	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Forster's/Common Tern	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.903E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sterna sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.849E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pied-billed Grebe	0.0227129	0.0146461	0.0155109	0.0175439	0.0133333	0.0220588	0.0153322	0.0380795	0.0408759	0.0396285	0.0528053	0.0737165	0.0968604	0.0971317	0.0608028	0.025193	0.0087427	0.0068659	0.0108447	0.0068783	0.008	0.0121681	0.0089374	0.0046168	0.0049383	0.0211566	0.0123077	0.0189394	0.0219072	0.0278481	0.0168394	0.0149137	0.0122574	0.016129	0.0114583	0.0239574	0.0276982	0.0223404	0.0341515	0.0475836	0.0391753	0.0377143	0.0246002	0.0252613	0.0351827	0.0165975	0.0142077	0.0200803	
Horned Grebe	0.0012618	8.137E-4	0.0027372	0.0222672	0.0066667	0.0053476	0.0034072	0.0115894	0.0124088	0.0179567	0.0244224	0.0351031	0.0400802	0.0293351	0.0135773	0.002438	0.0020816	4.039E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0010309	0.0034286	0.00246	0.0017422	0.0	0.0	0.0	0.0017212	
Red-necked Grebe	0.0	0.0	0.0	0.0128205	0.0038095	0.0013369	0.0029813	8.278E-4	0.0021898	0.0068111	0.0052805	0.0	0.0015	6.519E-4	0.0029516	4.063E-4	0.0041632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eared Grebe	0.0012618	8.137E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070644	0.0541369	0.0	0.0	0.0	0.0	0.0	0.0	7.435E-4	0.0	0.0015	0.0	0.0	0.0	0.0027663	0.0054645	5.737E-4	
Horned/Eared Grebe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011429	0.0	0.0	0.0	0.0	0.0	0.0	
grebe sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.601E-4	4.388E-4	0.0	0.0	0.0	8.127E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.737E-4	
Red-throated Loon	0.0	0.0	0.0	0.0155196	0.0019048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004008	0.0019557	5.903E-4	4.063E-4	4.163E-4	0.0	5.708E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001487	0.0041237	0.0011429	0.0	0.0017422	0.0013532	0.0	0.0	0.0	
Common Loon	0.0044164	8.137E-4	0.0	0.0013495	9.524E-4	0.0015	0.0017036	0.0033113	0.0014599	6.192E-4	0.0019802	0.0096534	0.0454242	0.053455	0.0306966	0.0142219	0.0141549	0.016559	0.0199772	0.0010582	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037975	0.0	0.0015699	0.0	0.0010753	0.0020833	0.0079858	0.0028653	0.0053191	0.0085379	0.0066914	0.0113402	0.024	0.0123001	0.0130662	0.0013532	0.0	0.0021858	0.0045898	
loon sp.	6.309E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.903E-4	0.001219	4.163E-4	4.039E-4	0.0028539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010417	0.0	9.551E-4	0.0	0.0	0.0	0.0	0.0034286	0.00123	8.711E-4	0.0	0.0	0.0	0.0	
Brown Booby	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Great Cormorant	0.0	0.0015	9.124E-4	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0037152	0.0013201	8.776E-4	6.68E-4	6.519E-4	0.0	0.0015	0.0	0.0	0.0	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	7.435E-4	0.0	0.0	0.0015	0.0	0.0013532	0.0	0.0015	0.0017212	
Double-crested Cormorant	0.0025237	0.0	9.124E-4	0.0013495	0.0	0.0040107	0.0	0.0024834	0.0014599	0.0049536	0.0349835	0.0583589	0.1102204	0.119296	0.1269185	0.0861438	0.0470441	0.0371567	0.0371005	0.026455	0.026	0.0287611	0.0258193	0.0277008	0.0271605	0.022567	0.0338462	0.03125	0.0425258	0.0329114	0.0375648	0.033752	0.0388151	0.0258065	0.04375	0.0337178	0.0286533	0.0191489	0.0288154	0.0416357	0.0175258	0.0148571	0.0086101	0.0095819	0.0	0.0055325	0.0021858	0.0034423	
cormorant sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.737E-4	
White Ibis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0113636	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
