









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	9.524E-4	0.0	0.0015	0.0	7.299E-4	6.192E-4	0.0	0.0	6.68E-4	0.0	5.903E-4	4.063E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017422	0.0	0.0	0.0	0.0	
swan sp.	0.0	0.0	0.0	6.748E-4	0.0	6.684E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	6.309E-4	0.0	9.124E-4	0.0	0.0	0.0	0.0	0.0	7.299E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025907	0.0	0.0010215	0.0010753	0.0	0.0	0.0	0.0	0.0	0.001487	0.0	0.0	0.0	8.711E-4	0.0	0.0	0.0	5.737E-4	
Muscovy Duck	0.0018927	0.0015	0.0	0.0013495	0.0019048	6.684E-4	8.518E-4	0.0	0.0015	0.0	6.601E-4	0.0017552	0.001336	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	9.93E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0010215	0.0010753	0.0020833	0.0	9.551E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.711E-4	0.0027064	0.0013831	0.0010929	0.0017212	
Wood Duck	0.0195584	0.0227828	0.0136861	0.0263158	0.0228571	0.0147059	0.0195911	0.0629139	0.0948905	0.1411765	0.1518152	0.1548925	0.1496326	0.1323338	0.1469894	0.1316538	0.0953372	0.0787561	0.0781963	0.0613757	0.042	0.0409292	0.0307845	0.0341644	0.0469136	0.0394922	0.06	0.0710227	0.0902062	0.0708861	0.0595855	0.0643642	0.0919305	0.0494624	0.0458333	0.0718722	0.0592168	0.0702128	0.0554963	0.0572491	0.0298969	0.0331429	0.0295203	0.0191638	0.02977	0.0165975	0.0229508	0.0246701	
Mandarin Duck	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	6.309E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065693	0.0018576	0.0092409	0.0329092	0.0427522	0.0580183	0.042503	0.0235677	0.0145712	0.0024233	0.0022831	0.0015	0.0	0.0	0.0	9.234E-4	0.0049383	0.0014104	0.0076923	0.0085227	0.0012887	0.0088608	0.003886	0.0039246	0.0061287	0.0139785	0.009375	0.0310559	0.008596	0.0074468	0.0021345	0.002974	0.0061856	0.0	0.00123	0.0017422	0.0	0.0	0.0	0.0011474	
Northern Shoveler	0.0018927	0.0016273	0.0027372	0.0040486	0.0047619	0.0	0.0059625	0.022351	0.0262774	0.0390093	0.0356436	0.0627468	0.0440882	0.0280313	0.0135773	0.003657	0.0058285	0.0036349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030644	0.0053763	0.003125	0.011535	0.0038204	0.0042553	0.0064034	0.0081784	0.0082474	0.0068571	0.0061501	0.0017422	0.0013532	0.0	0.0	0.0057372	
Gadwall	0.0189274	0.0235964	0.0237226	0.025641	0.0295238	0.026738	0.0144804	0.0504967	0.0481752	0.0495356	0.0323432	0.0245722	0.0247161	0.0123859	0.0094451	0.0016254	0.0024979	8.078E-4	0.0022831	0.0	0.001	0.0	0.0	0.0	0.0012346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010753	0.0010417	0.0	9.551E-4	0.0010638	0.0053362	0.0104089	0.0030928	0.0057143	0.0086101	0.0191638	0.0121786	0.011065	0.0142077	0.0172117	
Eurasian Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087591	0.0043344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
