"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Madagascar Magpie-robin","Copsychus_albospecularis","Chats and Old World flycatchers","Muscicapidae","Passeriformes","F","black, brownish gray, dark blue, dark gray, gray, pale gray","dark blue, dark gray, black, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, dark blue, gray, brownish gray",NA,NA,NA,"dark gray, dark blue, gray",NA,"gray",NA,NA,"pale gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
"Madagascar Munia","Lonchura_nana","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","dark rufous, dark yellow-buff, medium buff, medium orange-buff, medium pinkish buff, medium red-brown, medium yellow-buff, pale buff, pale orange-buff, pale pinkish buff, very pale buff, very pale cream, very pale orange-buff, very pale pinkish buff","dark rufous, medium red-brown, very pale pinkish buff","very pale orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,"very pale buff, pale buff, medium orange-buff, medium yellow-buff",NA,NA,NA,"medium red-brown, very pale buff, pale pinkish buff, dark yellow-buff, pale orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium red-brown, dark rufous, pale pinkish buff, very pale pinkish buff, dark yellow-buff, medium buff",NA,NA,NA,"pale orange-buff, medium pinkish buff, very pale cream, very pale orange-buff",NA
"Madagascar Munia","Lonchura_nana","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","pale pinkish buff, very pale buff, very pale cream, very pale orange-buff, very pale pinkish buff","very pale pinkish buff, pale pinkish buff, very pale orange-buff","very pale cream, very pale orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,"very pale buff, very pale pinkish buff",NA,NA,NA,"very pale pinkish buff, pale pinkish buff, very pale buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pale pinkish buff, very pale pinkish buff",NA,NA,NA,"very pale cream, very pale orange-buff",NA
"Madagascar Red Fody","Foudia_madagascariensis","Weavers and allies","Ploceidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, dark yellow-buff, gray, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark brown, medium-dark rufous, dark brown, brownish gray, medium-dark yellow-buff, dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark brown, medium-dark rufous, dark rufous, brownish gray, medium-dark yellow-buff, gray",NA,NA,NA,"medium-dark brown, medium-dark orange-buff, medium-dark rufous, gray",NA,"medium-dark brown, medium-dark rufous, medium-dark orange-buff, gray",NA,NA,"dark gray, brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray",NA
"Madagascar Starling","Saroglossa_aurata","Starlings","Sturnidae","Passeriformes","M","blue, brownish gray, dark gray, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale gray","brownish gray, gray",NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,"brownish gray, gray",NA,"brownish gray, dark gray","medium-dark yellow-buff, brownish gray, gray, medium-dark rufous, medium-dark orange-buff","gray, pale gray, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,"pale gray, gray","brownish gray, gray, blue",NA,NA,NA,"gray, olive-gray",NA
"Madagascar White-eye","Zosterops_maderaspatanus","White-eyes","Zosteropidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff","dark yellow-buff, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark yellow-buff, medium-dark yellow-buff, gray",NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff",NA,"gray",NA,NA,"gray, dark yellow-buff, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray, brownish gray",NA
"Madeira Kinglet","Regulus_madeirensis","Goldcrests and kinglets","Reguliidae","Passeriformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale gray","medium-dark yellow-buff, medium yellow-buff, medium cream",NA,NA,NA,NA,"gray",NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,NA,"gray",NA,NA,NA,"brownish gray",NA,"brownish gray, dark gray",NA,NA,NA,"dark yellow-buff, medium-dark yellow-buff, brownish gray, gray","brownish gray, medium-dark yellow-buff","brownish gray, gray",NA,NA,NA
"Madeira Laurel Pigeon","Columba_trocaz","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, dark gray, gray, olive-gray","gray",NA,"gray",NA,NA,NA,NA,NA,NA,"gray",NA,NA,NA,NA,"gray","gray, brownish gray","gray",NA,NA,"gray","brownish gray, gray",NA,NA,NA,NA,"gray","dark gray, gray","gray, dark gray",NA,"gray",NA
"Magnificent Bird-of-paradise","Cicinnurus_magnificus","Birds of paradise","Paradisaeidae","Passeriformes","M","brownish gray, dark brown, dark gray, dark olive, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark green, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale cream, very dark olive, very dark rufous, very pale cream","medium-dark yellow-buff",NA,"brownish gray, medium-dark yellow-buff",NA,NA,"brownish gray, very dark rufous",NA,NA,NA,"brownish gray","pale cream, dark brown",NA,"medium-dark yellow-buff",NA,"dark gray","dark olive, medium-dark green","dark gray, brownish gray",NA,NA,"dark rufous, brownish gray, medium-dark yellow-buff",NA,"medium-dark yellow-buff, medium yellow-buff",NA,NA,NA,"medium yellow-buff","brownish gray, dark rufous","brownish gray",NA,NA,NA
"Magnificent Frigatebird","Fregata_magnificens","Frigatebirds","Fregatidae","Suliformes","F","black, brownish gray, dark gray, gray, olive-gray, pale gray","dark gray, black, gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, dark gray, brownish gray",NA,NA,NA,"dark gray, gray, brownish gray",NA,"dark gray, brownish gray, pale gray, gray, olive-gray",NA,NA,"dark gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
"Magnificent Riflebird","Ptiloris_magnificus","Birds of paradise","Paradisaeidae","Passeriformes","F","black, blue, brownish gray, dark blue, dark gray, dark rufous, gray, light blue, olive-gray","dark blue, blue, dark gray, olive-gray, gray, dark rufous, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black, dark rufous, brownish gray",NA,NA,NA,"light blue, blue, brownish gray, gray",NA,"black, gray, brownish gray",NA,NA,"black, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue, dark blue, dark rufous",NA
"Magnolia Warbler","Dendroica_magnolia","New World warblers","Parulidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, pale gray, very dark yellow-buff","gray, dark gray, black",NA,"gray","gray","gray","medium-dark yellow-buff, gray","medium yellow-buff, gray",NA,NA,NA,"dark yellow-buff, gray, dark gray, black, very dark yellow-buff, medium-dark yellow-buff","brownish gray","medium yellow-buff, medium-dark yellow-buff, medium cream",NA,"medium yellow-buff, dark yellow-buff, medium-dark yellow-buff, gray, medium cream","medium yellow-buff, medium cream, gray, medium-dark yellow-buff","medium yellow-buff, medium cream, pale cream, medium-dark yellow-buff","medium yellow-buff","medium yellow-buff, pale cream","gray, dark gray, brownish gray",NA,NA,NA,NA,NA,"brownish gray, gray, black, pale gray",NA,NA,NA,"dark gray, gray, brownish gray",NA
"Magnolia Warbler","Dendroica_magnolia","New World warblers","Parulidae","Passeriformes","M","black, brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale gray","dark gray, gray",NA,"gray, medium cream, medium yellow-buff","gray","dark gray","dark gray","medium yellow-buff",NA,NA,NA,"dark gray","dark gray, gray","medium yellow-buff",NA,"medium yellow-buff","gray, medium cream, dark yellow-buff, medium-dark yellow-buff","medium yellow-buff","medium yellow-buff, medium-dark yellow-buff","gray","gray, dark gray",NA,NA,NA,NA,NA,"brownish gray, pale gray, black, gray",NA,NA,NA,"gray",NA
"Magpie Munia","Lonchura_fringilloides","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","black, dark brown, dark maroon, dark rufous, medium red-brown, medium tan, medium yellow-buff, medium-dark brown, medium-dark maroon, medium-dark orange-buff, medium-dark red-brown, medium-dark rufous, pale buff, pale orange-buff, very pale cream, very pale orange-buff","medium-dark red-brown, medium-dark maroon, black","very pale cream, medium red-brown, medium-dark brown, dark rufous, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark orange-buff, pale orange-buff, very pale orange-buff, medium tan, pale buff",NA,NA,NA,"black, medium-dark brown, medium tan, dark brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium red-brown, medium-dark orange-buff, medium-dark red-brown, medium-dark rufous, dark rufous",NA,NA,NA,"black, medium red-brown, medium-dark red-brown, medium-dark rufous, dark brown, dark maroon",NA
"Magpie Munia","Lonchura_fringilloides","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","dark maroon, gray, medium buff, medium pinkish buff, medium red-brown, medium tan, medium-dark maroon, medium-dark red-brown, pale buff, pale orange-buff, pale pinkish buff, very pale buff, very pale cream","dark maroon, medium red-brown, medium-dark red-brown, gray","medium red-brown, pale pinkish buff, pale orange-buff, very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,"medium pinkish buff, medium tan, medium buff, very pale buff",NA,NA,NA,"gray, medium-dark red-brown, pale pinkish buff, medium red-brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium pinkish buff, medium red-brown, very pale buff, pale buff, pale pinkish buff, dark maroon",NA,NA,NA,"medium-dark red-brown, medium pinkish buff, pale pinkish buff, medium-dark maroon",NA
"Magpie Starling","Speculipastor_bicolor","Starlings","Sturnidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff, pale cream","brownish gray, gray, dark gray",NA,"brownish gray, gray, dark gray",NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,"brownish gray, gray, dark gray","brownish gray, gray, dark gray","brownish gray, gray, dark gray","gray, pale cream","gray, pale cream, medium cream, brownish gray",NA,NA,NA,NA,NA,NA,NA,"medium cream, gray, medium yellow-buff, pale cream","brownish gray, gray, dark gray",NA,NA,NA,"brownish gray, gray, dark gray",NA
"Magpie Tanager","Cissopis_leverianus","Tanagers","Thraupidae","Passeriformes","M","black, dark blue, dark gray, gray","dark gray, black, gray, dark blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray",NA,"gray",NA,"dark gray, black","dark gray","gray",NA,"gray",NA,"gray",NA,NA,NA,NA,"dark gray, black","dark gray, gray",NA,"gray",NA,NA
"Magpie-lark","Grallina_cyanoleuca","Monarchs","Monarchidae","Passeriformes","F","black, dark gray, gray, pale gray","dark gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray",NA,"gray",NA,"gray, dark gray, black, pale gray","dark gray","gray, pale gray",NA,NA,"gray, pale gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
"Makira Flycatcher","Myiagra_cervinicauda","Monarchs","Monarchidae","Passeriformes","M","black, blue, brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff","gray, blue, dark gray",NA,NA,NA,"black","gray",NA,NA,NA,"brownish gray, medium-dark yellow-buff, gray",NA,NA,NA,NA,"medium-dark rufous, medium-dark yellow-buff, gray, dark gray",NA,"medium cream, medium yellow-buff, gray",NA,NA,NA,"brownish gray, dark gray, gray",NA,NA,NA,NA,NA,"brownish gray, dark gray, gray","medium-dark yellow-buff, medium yellow-buff, gray",NA,NA,NA
"Makira Thrush","Zoothera_margaretae","Thrushes","Turdidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium yellow-buff, pale gray","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark yellow-buff",NA,NA,NA,NA,"gray","brownish gray","gray, medium yellow-buff",NA,NA,NA,"brownish gray",NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,NA,NA
"Malachite Kingfisher","Alcedo_cristata","Kingfishers","Alcedinidae","Coraciiformes","M","blue, dark purple, gray, light blue, medium cream, medium green, medium orange-buff, medium yellow-buff, medium-dark dark purple, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, pale cream, pale gray","light blue, medium green, gray, blue, dark purple",NA,NA,NA,NA,"medium-dark rufous, medium-dark orange-buff",NA,NA,NA,"dark purple, medium-dark dark purple, blue",NA,NA,NA,NA,"gray, medium yellow-buff, pale gray","medium orange-buff, medium yellow-buff, medium-dark yellow-buff, medium-dark orange-buff, medium-dark rufous","pale cream, medium cream, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malachite Sunbird","Nectarinia_famosa","Sunbirds","Nectariniidae","Passeriformes","F","brownish gray, medium cream, medium yellow-buff, medium-dark yellow-buff","brownish gray",NA,NA,NA,"brownish gray",NA,"medium yellow-buff",NA,NA,NA,"brownish gray",NA,NA,NA,"medium-dark yellow-buff","medium-dark yellow-buff","medium cream","medium-dark yellow-buff",NA,"brownish gray",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"brownish gray",NA
"Malachite Sunbird","Nectarinia_famosa","Sunbirds","Nectariniidae","Passeriformes","M","black, blue, dark gray, medium cream, medium green, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray, very dark olive","medium-dark olive, medium-dark yellow-buff",NA,NA,NA,"dark gray",NA,"medium-dark olive",NA,NA,NA,"medium green, medium-dark olive",NA,NA,NA,"medium-dark olive, medium-dark green","medium green, dark gray, medium cream","blue, black","dark gray","very dark olive, medium green","olive-gray",NA,NA,NA,NA,NA,"dark gray",NA,NA,NA,"dark gray",NA
"Malaita Fantail","Rhipidura_malaitae","Fantails","Rhipiduridae","Passeriformes","M","brownish gray, dark rufous, dark yellow-buff, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark rufous, dark yellow-buff, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, dark rufous",NA,NA,NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff, medium-dark orange-buff",NA,NA,NA,NA,"brownish gray","medium-dark orange-buff, medium-dark rufous",NA,NA,NA,"brownish gray","medium-dark rufous, medium-dark orange-buff, dark rufous","medium-dark orange-buff, medium-dark rufous",NA,NA,NA
"Mallard","Anas_platyrhynchos","Ducks, geese and swans","Anatidae","Anseriformes","F","blue, brownish gray, dark gray, dark olive, gray, medium yellow-buff, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray","brownish gray, medium-dark green, dark olive, medium-dark olive, dark gray, gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, medium-dark rufous, medium-dark yellow-buff, dark gray, gray",NA,"brownish gray, dark gray",NA,"medium yellow-buff, medium-dark olive, olive-gray, dark gray, medium-dark yellow-buff, gray, brownish gray, dark olive","medium-dark orange-buff, brownish gray","medium yellow-buff, gray, brownish gray, medium-dark rufous, medium-dark yellow-buff, medium-dark orange-buff",NA,NA,"blue",NA,NA,NA,NA,NA,"blue",NA,NA,NA,"brownish gray, gray, dark gray",NA
"Mandarin Duck","Aix_galericulata","Ducks, geese and swans","Anatidae","Anseriformes","M","blue, brownish gray, dark brown, dark gray, dark maroon, dark olive, dark purple, dark rufous, gray, medium orange-buff, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale gray","medium-dark brown, dark brown, dark rufous, gray",NA,"dark olive, blue, olive-gray, medium-dark orange-buff, medium-dark rufous, medium orange-buff",NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, medium-dark yellow-buff",NA,NA,NA,NA,"gray, dark maroon","gray, pale gray",NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, blue, dark purple",NA,NA,NA,NA,NA
"Mangrove Finch","Camarhynchus_heliobates","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray, medium-dark yellow-buff","brownish gray, gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray",NA,"brownish gray, gray",NA,"gray","gray, brownish gray","gray, medium-dark yellow-buff",NA,"gray, brownish gray",NA,NA,NA,NA,NA,NA,"gray, brownish gray","brownish gray, gray",NA,NA,NA,NA
"Mangrove Gerygone","Gerygone_levigaster","Thornbills and gerygones","Acanthizidae","Passeriformes","F","brownish gray, dark yellow-buff, gray","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark yellow-buff, brownish gray, gray",NA,NA,NA,"gray",NA,"gray",NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA
"Mangrove Vireo","Vireo_pallens","Vireos and allies","Vireonidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff, pale cream","gray, dark yellow-buff, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark yellow-buff, gray, medium-dark yellow-buff",NA,NA,NA,"medium yellow-buff, medium-dark yellow-buff, gray",NA,"medium-dark yellow-buff, medium yellow-buff, pale cream, gray",NA,NA,"gray, brownish gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray",NA
"Many-coloured Chaco-finch","Saltatricula_multicolor","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark gray, gray, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","brownish gray, gray",NA,NA,"gray",NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray, medium-dark rufous, gray",NA,"gray, brownish gray",NA,"gray","gray","gray","medium-dark rufous, medium-dark yellow-buff, medium-dark orange-buff","gray",NA,NA,NA,NA,NA,NA,"brownish gray","gray, dark gray, brownish gray",NA,"gray",NA,NA
"Many-coloured Fruit-dove","Ptilinopus_perousii","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, dark brown, dark maroon, dark yellow-buff, gray, medium cream, medium green, medium orange-buff, medium red-brown, medium yellow-buff, medium-dark brown, medium-dark green, medium-dark maroon, medium-dark olive, medium-dark red-brown, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale cream","medium-dark maroon, dark maroon",NA,"gray, pale cream, medium yellow-buff",NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff","medium-dark yellow-buff, dark maroon, medium yellow-buff",NA,"medium-dark yellow-buff, medium yellow-buff",NA,"gray","gray, medium-dark red-brown","medium-dark yellow-buff, pale cream",NA,"medium cream, medium yellow-buff, medium-dark red-brown, medium-dark maroon","medium-dark yellow-buff, gray, olive-gray","medium-dark yellow-buff, medium-dark olive, medium-dark rufous, olive-gray","medium yellow-buff, medium cream, medium green",NA,NA,NA,"medium-dark rufous, gray","medium-dark yellow-buff, gray","gray",NA,"brownish gray, medium-dark yellow-buff, dark yellow-buff",NA
"Many-spotted Hummingbird","Taphrospilus_hypostictus","Hummingbirds","Trochilidae","Apodiformes","M","gray, medium green, medium-dark green, medium-dark olive, olive-gray","medium-dark green",NA,NA,NA,NA,"medium-dark green",NA,NA,NA,NA,"medium-dark green",NA,"medium-dark green",NA,"medium green","medium green","gray",NA,NA,NA,NA,"gray",NA,NA,NA,NA,NA,NA,"medium-dark olive","olive-gray",NA
"Mao","Gymnomyza_samoensis","Honeyeaters","Meliphagidae","Passeriformes","M","dark gray, dark yellow-buff, gray, medium-dark yellow-buff","dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA,"dark yellow-buff",NA,"dark gray","gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,NA
"Marail Guan","Penelope_marail","Guans and curassows","Cracidae","Galliformes","F","brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff","dark gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray",NA,NA,NA,"medium yellow-buff","dark gray, gray, brownish gray","medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"gray",NA
"Marail Guan","Penelope_marail","Guans and curassows","Cracidae","Galliformes","M","brownish gray, dark gray, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray","brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray, dark gray",NA,NA,NA,"medium-dark yellow-buff, medium yellow-buff","brownish gray, gray","medium-dark rufous, medium-dark yellow-buff, dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"gray, olive-gray",NA
"Marbled Godwit","Limosa_fedoa","Sandpipers and allies","Scolopacidae","Charadriiformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark yellow-buff","brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, medium-dark yellow-buff",NA,NA,NA,"gray",NA,"gray, medium yellow-buff, medium-dark yellow-buff, brownish gray",NA,NA,"medium-dark yellow-buff, brownish gray, dark rufous, dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, medium-dark yellow-buff, medium-dark orange-buff",NA
"Marbled Honeyeater","Pycnopygius_cinereus","Honeyeaters","Meliphagidae","Passeriformes","F","brownish gray, dark gray, gray","gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,"dark gray, gray",NA,"gray",NA,NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA
"Marbled Wood-quail","Odontophorus_gujanensis","New World quails","Odontophoridae","Galliformes","F","brownish gray, dark gray, dark rufous, medium-dark rufous, medium-dark yellow-buff","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark gray",NA,NA,NA,NA,"medium-dark rufous","medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"dark rufous",NA
"Marbled Wood-quail","Odontophorus_gujanensis","New World quails","Odontophoridae","Galliformes","M","black, brownish gray, dark rufous, medium-dark yellow-buff","dark rufous, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, black",NA,NA,NA,NA,"dark rufous","medium-dark yellow-buff, dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"dark rufous, brownish gray",NA
"Marbled Wood-quail","Odontophorus_gujanensis","New World quails","Odontophoridae","Galliformes",NA,"brownish gray, dark rufous, medium-dark rufous, medium-dark yellow-buff","brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,NA,"medium-dark rufous","medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"dark rufous",NA,NA,NA,"dark rufous",NA
"Marmora's Warbler","Sylvia_sarda","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, dark gray, gray","brownish gray, gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,NA,NA,NA,"brownish gray, gray",NA,"brownish gray, gray",NA,NA,NA,"brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maroon Pigeon","Columba_thomensis","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, gray","gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,NA,"brownish gray, gray","gray, brownish gray",NA,NA,NA,"brownish gray","brownish gray",NA,NA,NA,NA,NA,"gray",NA,NA,NA,NA
"Maroon-fronted Parrot","Rhynchopsitta_terrisi","Parrots","Psittacidae","Psittaciformes",NA,"brownish gray, medium green, medium-dark brown, medium-dark green, medium-dark yellow-buff","brownish gray",NA,"medium green, medium-dark green",NA,NA,NA,NA,NA,NA,NA,"medium green, medium-dark green",NA,"medium-dark green, medium green, medium-dark yellow-buff",NA,NA,"medium-dark green, medium green","medium green, medium-dark green",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark green, medium green",NA,NA,NA,"medium-dark green",NA
"Marquesan Ground-dove","Gallicolumba_rubescens","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, dark brown, dark gray, gray, pale cream","gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray",NA,NA,NA,NA,NA,"gray","brownish gray, gray",NA,NA,"gray, brownish gray, dark brown","gray, pale cream",NA,NA,NA,NA,"brownish gray, dark gray, gray","dark gray",NA,NA,NA,NA
"Marquesan Reed-warbler","Acrocephalus_mendanae","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff","gray, brownish gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, gray",NA,NA,"medium yellow-buff, medium-dark yellow-buff",NA,NA,NA,"medium cream",NA,NA,NA,"brownish gray",NA,NA,NA,NA,"gray, brownish gray",NA,NA,NA,NA,NA
"Marsh Warbler","Acrocephalus_palustris","Old World warblers","Sylviidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium yellow-buff, medium-dark yellow-buff","gray, brownish gray, dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, dark yellow-buff, gray, medium-dark yellow-buff",NA,NA,NA,"gray",NA,"medium-dark yellow-buff, medium yellow-buff, gray",NA,NA,"brownish gray, gray, medium-dark yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA
