"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Long-winged Antwren","Myrmotherula_longipennis","Antbirds","Thamnophilidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark rufous, medium-dark yellow-buff, very dark olive","medium-dark yellow-buff, dark yellow-buff",NA,"gray, dark yellow-buff","brownish gray, medium-dark yellow-buff, dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff","medium-dark yellow-buff",NA,NA,NA,"brownish gray, medium-dark yellow-buff, dark yellow-buff","medium-dark yellow-buff","brownish gray, dark yellow-buff",NA,"gray","gray","gray","gray","gray","dark yellow-buff, medium-dark yellow-buff, black, very dark olive",NA,"gray, dark gray",NA,"medium-dark rufous, dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray, medium-dark yellow-buff",NA
"Long-winged Antwren","Myrmotherula_longipennis","Antbirds","Thamnophilidae","Passeriformes","M","black, dark gray, gray, pale gray","gray, dark gray",NA,"dark gray, gray","gray, dark gray","gray, dark gray","gray","gray",NA,NA,NA,"gray, dark gray, pale gray","gray","gray",NA,"dark gray","gray, dark gray","gray","gray","gray","dark gray, black, gray",NA,"black, gray",NA,"dark gray",NA,NA,NA,NA,NA,"black, gray",NA
"Loria's Bird-of-paradise","Cnemophilus_loriae","Satin birds","Cnemophilidae","Passeriformes","F","black, brownish gray, dark gray, dark yellow-buff, gray, medium-dark yellow-buff, very dark yellow-buff","dark yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black, very dark yellow-buff, gray, dark yellow-buff",NA,NA,NA,"dark yellow-buff, medium-dark yellow-buff",NA,"black, dark gray, medium-dark yellow-buff, gray",NA,NA,"black, gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, black, brownish gray",NA
"Louisiana Waterthrush","Seiurus_motacilla","New World warblers","Parulidae","Passeriformes","F","brownish gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream","brownish gray, gray, dark yellow-buff, medium yellow-buff",NA,"brownish gray, gray","gray","brownish gray","brownish gray, gray","medium yellow-buff, gray",NA,NA,NA,"brownish gray","brownish gray","brownish gray, gray",NA,"pale cream, gray","brownish gray, pale cream, medium-dark yellow-buff, gray","gray, medium cream","medium-dark yellow-buff, pale cream","medium cream, pale cream","medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,"brownish gray, dark yellow-buff, dark rufous, medium-dark yellow-buff",NA,NA,NA,"brownish gray",NA
"Louisiana Waterthrush","Seiurus_motacilla","New World warblers","Parulidae","Passeriformes","M","brownish gray, dark rufous, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream","gray, brownish gray",NA,"brownish gray, gray, pale cream","gray, medium yellow-buff","brownish gray","brownish gray, medium-dark yellow-buff","medium yellow-buff",NA,NA,NA,"brownish gray","brownish gray","gray, brownish gray",NA,"gray, pale cream","brownish gray, pale cream, dark yellow-buff","pale cream","medium-dark yellow-buff","medium cream, medium yellow-buff","brownish gray",NA,NA,NA,NA,NA,"brownish gray, dark yellow-buff, dark rufous",NA,NA,NA,"brownish gray",NA
"Lovely Cotinga","Cotinga_amabilis","Cotingas","Cotingidae","Passeriformes","F","black, blue, brownish gray, dark gray, dark maroon, dark purple, gray, light blue, olive-gray, very dark maroon","light blue, blue, gray, brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"light blue, blue, brownish gray, gray",NA,NA,NA,"gray, dark purple, black",NA,"dark maroon, dark purple, light blue, black, very dark maroon, gray",NA,NA,"light blue, blue, dark gray, gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"light blue, blue, olive-gray, brownish gray, gray",NA
"Lovely Fairywren","Malurus_amabilis","Australasian wrens","Maluridae","Passeriformes","F","black, blue, brownish gray, dark blue, dark brown, dark gray, dark rufous, gray","blue, dark blue, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark brown, dark rufous, blue, dark blue, dark gray, gray",NA,NA,NA,"black, gray",NA,"gray",NA,NA,"dark gray, gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue, dark blue, dark gray, gray",NA
"Lovely Sunbird","Aethopyga_shelleyi","Sunbirds","Nectariniidae","Passeriformes","F","dark gray, gray, medium yellow-buff, medium-dark yellow-buff, pale cream","gray",NA,NA,NA,NA,"gray","medium yellow-buff",NA,NA,NA,"medium-dark yellow-buff",NA,"medium-dark yellow-buff",NA,"gray","gray","pale cream","gray","gray","medium-dark yellow-buff",NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,"dark gray",NA
"Lovely Sunbird","Aethopyga_shelleyi","Sunbirds","Nectariniidae","Passeriformes","M","black, brownish gray, dark brown, dark gray, dark rufous, gray, light blue, medium orange-buff, medium-dark yellow-buff, pale cream","dark gray",NA,NA,NA,NA,"dark brown","black",NA,NA,NA,"dark rufous",NA,"pale cream",NA,"pale cream","medium orange-buff, dark rufous","gray","pale cream","black, light blue","medium-dark yellow-buff",NA,NA,NA,NA,NA,"brownish gray",NA,NA,NA,"dark gray",NA
"Lowland Peltops","Peltops_blainvillii","Butcherbirds","Cracticidae","Passeriformes","F","black, dark gray, gray","dark gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA,NA,NA,"dark gray, black",NA,"dark gray, black",NA,NA,"dark gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
